# FreeAlphaRadar — AUTO-DISCOVERED universe.
# Generated by `python -m freealpharadar.discovery run` on 2026-06-29.
# Ranked best -> worst from a market-wide scan of SEC filers.
# Edit freely; a future discovery run will overwrite this file.

XNET  # Xunlei Limited
CGEN  # Compugen Ltd.
ENVX  # Enovix Corporation
ABXL  # Abacus Global Management, Inc. 
TUYA  # Tuya Inc.
WKSP  # Worksport Ltd.
LEAT  # Leatt Corporation
AIOS  # AIOS Tech Inc.
CLPS  # CLPS Incorporation
NSYS  # Nortech Systems Incorporated
CAMT  # Camtek Ltd.
CGEH  # Capstone Energy+, Inc.
WK  # Workiva Inc.
SPCB  # SuperCom Ltd.
FTK  # Flotek Industries, Inc.
